"date","location","location_type","location_code","location_code_type","data_type","value"
2020-01-24,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",4
2020-01-24,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_confirmed",NA
2020-01-24,"GE","Canton of Switzerland","CH.GE","gn_a1_code","new_hosp",NA
2020-01-24,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_hosp",NA
2020-01-24,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_icu",NA
2020-01-24,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_vent",NA
2020-01-24,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_recovered",NA
2020-01-24,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_death",NA
2020-01-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",8
2020-01-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_confirmed",NA
2020-01-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","new_hosp",NA
2020-01-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_hosp",NA
2020-01-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_icu",NA
2020-01-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_vent",NA
2020-01-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_recovered",NA
2020-01-25,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_death",NA
2020-01-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",11
2020-01-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_confirmed",NA
2020-01-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","new_hosp",NA
2020-01-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_hosp",NA
2020-01-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_icu",NA
2020-01-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_vent",NA
2020-01-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_recovered",NA
2020-01-26,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_death",NA
2020-01-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",18
2020-01-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_confirmed",NA
2020-01-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","new_hosp",NA
2020-01-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_hosp",NA
2020-01-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_icu",NA
2020-01-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_vent",NA
2020-01-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_recovered",NA
2020-01-27,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_death",NA
2020-01-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",27
2020-01-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_confirmed",NA
2020-01-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","new_hosp",NA
2020-01-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_hosp",NA
2020-01-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_icu",NA
2020-01-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_vent",NA
2020-01-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_recovered",NA
2020-01-28,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_death",NA
2020-01-29,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",54
2020-01-29,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_confirmed",NA
2020-01-29,"GE","Canton of Switzerland","CH.GE","gn_a1_code","new_hosp",NA
2020-01-29,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_hosp",NA
2020-01-29,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_icu",NA
2020-01-29,"GE","Canton of Switzerland","CH.GE","gn_a1_code","current_vent",NA
2020-01-29,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_recovered",NA
2020-01-29,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_death",NA
2020-01-30,"GE","Canton of Switzerland","CH.GE","gn_a1_code","total_tested",76
